AAEXERCICIO,CD_MENSAL,VR_INICIAL,VR_ATUALIZADO,VR_EFETIVADO,VR_ACUMULADO,CD_PAI,NR_NIVEL
"ADMINISTRACAO DIRETA",2008,1,29828064735.00,29828064735.00,4087437294.29,4087437294.29,,1
"ADMINISTRACAO INDIRETA",2008,1,2647492234.00,2647492234.00,255202200.07,255202200.07,,1
"EMPRESA EST. DEPENDENTES",2008,1,58338091.00,58338091.00,5030380.37,5030380.37,,1
"FUNDOS",2008,1,3056510539.00,3056510539.00,305955437.25,305955437.25,,1
"ADMINISTRACAO DIRETA",2008,2,0.00,810265902.57,2710362362.64,6797799656.93,,1
"ADMINISTRACAO INDIRETA",2008,2,0.00,9089138.18,197699561.01,452901761.08,,1
"EMPRESA EST. DEPENDENTES",2008,2,0.00,0.00,4824908.80,9855289.17,,1
"FUNDOS",2008,2,0.00,42112553.52,252367752.82,558323190.07,,1
"ADMINISTRACAO DIRETA",2008,3,0.00,0.00,3030365922.17,9828165579.10,,1
"ADMINISTRACAO INDIRETA",2008,3,0.00,0.00,155061025.55,607962786.63,,1
"EMPRESA EST. DEPENDENTES",2008,3,0.00,0.00,5862556.41,15717845.58,,1
"FUNDOS",2008,3,0.00,0.00,203792328.08,762115518.15,,1
"ADMINISTRACAO DIRETA",2008,4,0.00,5358631.07,2579547327.46,12407712906.56,,1
"ADMINISTRACAO INDIRETA",2008,4,0.00,6532273.10,191044266.61,799007053.24,,1
"EMPRESA EST. DEPENDENTES",2008,4,0.00,13467.75,4919101.83,20636947.41,,1
"FUNDOS",2008,4,0.00,2876720.43,244277610.27,1006393128.42,,1
"ADMINISTRACAO DIRETA",2008,5,0.00,0.00,2501411268.69,14909124175.25,,1
"ADMINISTRACAO INDIRETA",2008,5,0.00,0.00,182488254.23,981495307.47,,1
"EMPRESA EST. DEPENDENTES",2008,5,0.00,0.00,5107961.06,25744908.47,,1
"FUNDOS",2008,5,0.00,0.00,262224313.32,1268617441.74,,1
"ADMINISTRACAO DIRETA",2008,6,0.00,0.00,2604664747.19,17513788922.44,,1
"ADMINISTRACAO INDIRETA",2008,6,0.00,0.00,189681458.75,1171176766.22,,1
"EMPRESA EST. DEPENDENTES",2008,6,0.00,0.00,4699763.26,30444671.73,,1
