AAEXERCICIO,CD_MENSAL,NR_EMPENHO,NR_REALIZADA,NR_ACUMULADO,CD_PAI,NR_NIVEL
"ADMINISTRACAO",2008,1,0.00,54194781.75,54194781.75,"DESPESA",2
"AGRICULTURA",2008,1,0.00,19026166.51,19026166.51,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,1,0.00,2070754.54,2070754.54,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,1,0.00,3111348.47,3111348.47,"DESPESA",2
"COMERCIO E SERVICOS",2008,1,0.00,7878394.66,7878394.66,"DESPESA",2
"COMUNICACOES",2008,1,0.00,266186.51,266186.51,"DESPESA",2
"CULTURA",2008,1,0.00,2897829.60,2897829.60,"DESPESA",2
"DESPORTO E LAZER",2008,1,0.00,824666.44,824666.44,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,1,0.00,86952.67,86952.67,"DESPESA",2
"EDUCACAO",2008,1,0.00,306701766.32,306701766.32,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,1,0.00,1101773147.65,1101773147.65,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,1,0.00,34057219.68,34057219.68,"DESPESA",2
"GESTAO AMBIENTAL",2008,1,0.00,5201699.39,5201699.39,"DESPESA",2
"HABITACAO",2008,1,0.00,90000.00,90000.00,"DESPESA",2
"INDUSTRIA",2008,1,0.00,9016525.94,9016525.94,"DESPESA",2
"JUDICIARIA",2008,1,0.00,156447948.81,156447948.81,"DESPESA",2
"LEGISLATIVA",2008,1,0.00,59358279.19,59358279.19,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,1,0.00,345114.19,345114.19,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,1,0.00,329679944.22,329679944.22,"DESPESA",2
"RELACOES EXTERIORES",2008,1,0.00,696.55,696.55,"DESPESA",2
"SAUDE",2008,1,0.00,67239682.42,67239682.42,"DESPESA",2
"SEGURANCA PUBLICA",2008,1,0.00,312057918.17,312057918.17,"DESPESA",2
"TRABALHO",2008,1,0.00,11305.29,11305.29,"DESPESA",2
"TRANSPORTE",2008,1,0.00,13013960.21,13013960.21,"DESPESA",2
"URBANISMO",2008,1,0.00,400040.77,400040.77,"DESPESA",2
"ADMINISTRACAO",2008,2,0.00,86094390.93,140289172.68,"DESPESA",2
"AGRICULTURA",2008,2,0.00,24327223.11,43353389.62,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,2,0.00,5136289.03,7207043.57,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,2,0.00,8467110.30,11578458.77,"DESPESA",2
"COMERCIO E SERVICOS",2008,2,0.00,9818866.94,17697261.60,"DESPESA",2
"COMUNICACOES",2008,2,0.00,439056.74,705243.25,"DESPESA",2
"CULTURA",2008,2,0.00,7748636.82,10646466.42,"DESPESA",2
"DESPORTO E LAZER",2008,2,0.00,3865035.06,4689701.50,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,2,0.00,171842.43,258795.10,"DESPESA",2
"EDUCACAO",2008,2,0.00,281040542.80,587742309.12,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,2,0.00,879198764.73,1980971912.38,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,2,0.00,63658615.47,97715835.15,"DESPESA",2
"GESTAO AMBIENTAL",2008,2,0.00,8602547.42,13804246.81,"DESPESA",2
"HABITACAO",2008,2,0.00,2022288.62,2112288.62,"DESPESA",2
"INDUSTRIA",2008,2,0.00,13048593.58,22065119.52,"DESPESA",2
"JUDICIARIA",2008,2,0.00,193692104.07,350140052.88,"DESPESA",2
"LEGISLATIVA",2008,2,0.00,63113720.64,122471999.83,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,2,0.00,581209.29,926323.48,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,2,0.00,303624375.18,633304319.40,"DESPESA",2
