AAEXERCICIO,CD_MENSAL,VR_JUROS,VR_AMORTIZACAO,VR_TOTAL,CD_PAI,NR_NIVEL
"DIVIDA PUBLICA",2008,1,173596980.97,13013803.79,186610784.76,,1
"DIVIDA PUBLICA",2008,2,205734361.14,12363557.19,218097918.33,,1
"DIVIDA PUBLICA",2008,3,205144034.13,34957295.59,240101329.72,,1
"DIVIDA PUBLICA",2008,4,216872749.59,46036642.92,262909392.51,,1
"DIVIDA PUBLICA",2008,5,186522049.68,19804575.16,206326624.84,,1
"DIVIDA PUBLICA",2008,6,221622167.08,85977727.36,307599894.44,,1
"DIVIDA PUBLICA",2008,7,216882486.66,14318754.27,231201240.93,,1
"DIVIDA PUBLICA",2008,8,10633287.31,12247623.78,22880911.09,,1
"DIVIDA PUBLICA",2008,9,450128455.66,45969083.61,496097539.27,,1
"DIVIDA PUBLICA",2008,10,241639958.19,57015516.60,298655474.79,,1
"DIVIDA PUBLICA",2008,11,7669290.35,22990049.80,30659340.15,,1
"DIVIDA PUBLICA",2008,12,363784603.47,150917230.28,514701833.75,,1
"DIVIDA PUBLICA",2009,1,173470839.21,72167093.68,245637932.89,,1
"DIVIDA PUBLICA",2009,2,12210623.08,13431029.22,25641652.30,,1
"DIVIDA PUBLICA",2009,3,373009098.45,142939404.63,515948503.08,,1
"DIVIDA PUBLICA",2009,4,202888704.66,108478414.65,311367119.31,,1
"DIVIDA PUBLICA",2009,5,7114081.76,21885979.83,29000061.59,,1
"DIVIDA PUBLICA",2009,6,328159885.80,182893115.76,511053001.56,,1
"DIVIDA PUBLICA",2009,7,163829969.59,73890512.31,237720481.90,,1
"DIVIDA PUBLICA",2009,8,182989492.49,72936841.57,255926334.06,,1
"DIVIDA PUBLICA",2009,9,187459564.14,84303678.43,271763242.57,,1
"DIVIDA PUBLICA",2009,10,188181590.05,89813940.47,277995530.52,,1
"DIVIDA PUBLICA",2009,11,164143478.89,67612113.79,231755592.68,,1
"DIVIDA PUBLICA",2009,12,176966236.00,155067737.08,332033973.08,,1
"DIVIDA PUBLICA",2010,1,4725913.01,14760761.22,19486674.23,,1
"DIVIDA PUBLICA",2010,2,168739611.87,81994136.32,250733748.19,,1
"DIVIDA PUBLICA",2010,3,354137927.62,156562402.38,510700330.00,,1
"DIVIDA PUBLICA",2010,4,194419921.03,93152438.03,287572359.06,,1
"DIVIDA PUBLICA",2010,5,167981388.64,75541985.38,243523374.02,,1
"DIVIDA PUBLICA",2010,6,182165974.38,149726509.76,331892484.14,,1
"DIVIDA PUBLICA",2010,7,184048563.72,82629804.84,266678368.56,,1
"DIVIDA PUBLICA",2010,8,183206719.25,88769647.86,271976367.11,,1
"DIVIDA PUBLICA",2010,9,186367157.66,99983175.46,286350333.12,,1
